"Applicant" "Homeownership"
"2182" "joint" "rent"
"2183" "indiv" "mortgage"
"2184" "indiv" "mortgage"
"2185" "indiv" "mortgage"
"2186" "indiv" "mortgage"
"2187" "indiv" "rent"
"2188" "indiv" "rent"
"2189" "indiv" "own"
"2190" "joint" "mortgage"
"2191" "indiv" "rent"
"2192" "indiv" "mortgage"
"2193" "indiv" "rent"
"2194" "indiv" "own"
"2195" "joint" "mortgage"
"2196" "indiv" "mortgage"
"2197" "joint" "own"
"2198" "indiv" "rent"
"2199" "joint" "mortgage"
"2200" "indiv" "mortgage"
"2201" "indiv" "mortgage"
"2202" "indiv" "rent"
"2203" "indiv" "mortgage"
"2204" "indiv" "own"
"2205" "indiv" "rent"
"2206" "indiv" "own"
"2207" "indiv" "rent"
"2208" "indiv" "rent"
"2209" "indiv" "own"
"2210" "indiv" "rent"
"2211" "indiv" "mortgage"
"2212" "indiv" "mortgage"
"2213" "joint" "rent"
"2214" "indiv" "mortgage"
"2215" "indiv" "rent"
"2216" "indiv" "mortgage"
"2217" "indiv" "rent"
"2218" "indiv" "mortgage"
"2219" "indiv" "rent"
"2220" "indiv" "rent"
"2221" "indiv" "rent"
"2222" "indiv" "rent"
"2223" "indiv" "rent"
"2224" "indiv" "rent"
"2225" "indiv" "rent"
"2226" "indiv" "rent"
"2227" "indiv" "rent"
"2228" "indiv" "mortgage"
"2229" "indiv" "rent"
"2230" "indiv" "rent"
"2231" "joint" "mortgage"
"2232" "indiv" "mortgage"
"2233" "indiv" "mortgage"
"2234" "indiv" "mortgage"
"2235" "indiv" "rent"
"2236" "indiv" "own"
"2237" "joint" "rent"
"2238" "indiv" "rent"
"2239" "indiv" "own"
"2240" "joint" "rent"
"2241" "indiv" "mortgage"
"2242" "indiv" "rent"
"2243" "indiv" "rent"
"2244" "indiv" "rent"
"2245" "indiv" "rent"
"2246" "indiv" "own"
"2247" "indiv" "rent"
"2248" "indiv" "mortgage"
"2249" "indiv" "mortgage"
"2250" "joint" "mortgage"
"2251" "indiv" "mortgage"
"2252" "indiv" "mortgage"
"2253" "indiv" "rent"
"2254" "indiv" "rent"
"2255" "joint" "mortgage"
"2256" "joint" "mortgage"
"2257" "indiv" "mortgage"
"2258" "indiv" "mortgage"
"2259" "indiv" "rent"
"2260" "indiv" "rent"
"2261" "indiv" "own"
"2262" "indiv" "mortgage"
"2263" "joint" "mortgage"
"2264" "joint" "mortgage"
"2265" "indiv" "rent"
"2266" "indiv" "rent"
"2267" "indiv" "own"
"2268" "indiv" "mortgage"
"2269" "indiv" "rent"
"2270" "indiv" "rent"
"2271" "joint" "mortgage"
"2272" "indiv" "mortgage"
"2273" "indiv" "mortgage"
"2274" "indiv" "mortgage"
"2275" "indiv" "own"
"2276" "indiv" "mortgage"
"2277" "indiv" "rent"
"2278" "joint" "rent"
"2279" "indiv" "mortgage"
"2280" "indiv" "mortgage"
"2281" "indiv" "mortgage"
"2282" "indiv" "own"
"2283" "indiv" "own"
"2284" "indiv" "rent"
"2285" "indiv" "rent"
"2286" "indiv" "mortgage"
"2287" "indiv" "mortgage"
"2288" "indiv" "rent"
"2289" "indiv" "rent"
"2290" "indiv" "rent"
"2291" "indiv" "rent"
"2292" "indiv" "own"
"2293" "indiv" "mortgage"
"2294" "indiv" "rent"
"2295" "indiv" "mortgage"
"2296" "indiv" "rent"
"2297" "indiv" "rent"
"2298" "indiv" "mortgage"
"2299" "joint" "rent"
"2300" "indiv" "own"
"2301" "indiv" "rent"
"2302" "indiv" "mortgage"
"2303" "indiv" "own"
"2304" "indiv" "mortgage"
"2305" "indiv" "rent"
"2306" "indiv" "rent"
"2307" "indiv" "rent"
"2308" "indiv" "own"
"2309" "joint" "mortgage"
"2310" "indiv" "rent"
"2311" "indiv" "rent"
"2312" "joint" "mortgage"
"2313" "joint" "mortgage"
"2314" "indiv" "mortgage"
"2315" "indiv" "rent"
"2316" "indiv" "mortgage"
"2317" "indiv" "rent"
"2318" "indiv" "mortgage"
"2319" "indiv" "mortgage"
"2320" "indiv" "own"
"2321" "indiv" "mortgage"
"2322" "indiv" "mortgage"
"2323" "indiv" "mortgage"
"2324" "indiv" "own"
"2325" "indiv" "rent"
"2326" "indiv" "mortgage"
"2327" "indiv" "own"
"2328" "indiv" "mortgage"
"2329" "indiv" "mortgage"
"2330" "indiv" "own"
"2331" "indiv" "rent"
"2332" "joint" "mortgage"
"2333" "indiv" "rent"
"2334" "indiv" "rent"
"2335" "indiv" "rent"
"2336" "indiv" "mortgage"
"2337" "indiv" "mortgage"
"2338" "indiv" "mortgage"
"2339" "indiv" "rent"
"2340" "indiv" "mortgage"
"2341" "indiv" "mortgage"
"2342" "indiv" "rent"
"2343" "indiv" "rent"
"2344" "indiv" "rent"
"2345" "indiv" "mortgage"
"2346" "indiv" "rent"
"2347" "joint" "own"
"2348" "joint" "mortgage"
"2349" "indiv" "rent"
"2350" "indiv" "mortgage"
"2351" "joint" "mortgage"
"2352" "indiv" "rent"
"2353" "indiv" "own"
"2354" "indiv" "mortgage"
"2355" "indiv" "mortgage"
"2356" "indiv" "own"
"2357" "indiv" "mortgage"
"2358" "indiv" "mortgage"
"2359" "indiv" "mortgage"
"2360" "joint" "mortgage"
"2361" "indiv" "rent"
"2362" "indiv" "mortgage"
"2363" "indiv" "mortgage"
"2364" "indiv" "rent"
"2365" "indiv" "rent"
"2366" "indiv" "mortgage"
"2367" "indiv" "rent"
"2368" "indiv" "rent"
"2369" "indiv" "own"
"2370" "indiv" "rent"
"2371" "indiv" "rent"
"2372" "indiv" "own"
"2373" "joint" "mortgage"
"2374" "indiv" "mortgage"
"2375" "indiv" "mortgage"
"2376" "indiv" "rent"
"2377" "indiv" "rent"
"2378" "indiv" "mortgage"
"2379" "indiv" "rent"
"2380" "indiv" "own"
"2381" "indiv" "mortgage"
"2382" "joint" "mortgage"
"2383" "indiv" "mortgage"
"2384" "indiv" "rent"
"2385" "indiv" "own"
"2386" "indiv" "rent"
"2387" "indiv" "mortgage"
"2388" "joint" "own"
"2389" "indiv" "rent"
"2390" "indiv" "rent"
"2391" "indiv" "mortgage"
"2392" "indiv" "own"
"2393" "joint" "mortgage"
"2394" "indiv" "own"
"2395" "indiv" "rent"
"2396" "indiv" "rent"
"2397" "indiv" "rent"
"2398" "joint" "rent"
"2399" "indiv" "rent"
"2400" "indiv" "mortgage"
"2401" "indiv" "rent"
"2402" "indiv" "mortgage"
"2403" "indiv" "rent"
"2404" "indiv" "mortgage"
"2405" "joint" "mortgage"
"2406" "joint" "rent"
"2407" "indiv" "mortgage"
"2408" "joint" "mortgage"
"2409" "indiv" "rent"
"2410" "indiv" "mortgage"
"2411" "indiv" "rent"
"2412" "joint" "rent"
"2413" "indiv" "rent"
"2414" "indiv" "rent"
"2415" "indiv" "mortgage"
"2416" "indiv" "rent"
"2417" "indiv" "rent"
"2418" "joint" "rent"
"2419" "indiv" "rent"
"2420" "indiv" "rent"
"2421" "indiv" "rent"
"2422" "indiv" "mortgage"
"2423" "indiv" "mortgage"
"2424" "joint" "rent"
"2425" "joint" "rent"
"2426" "indiv" "rent"
"2427" "indiv" "mortgage"
"2428" "joint" "mortgage"
"2429" "joint" "rent"
"2430" "indiv" "mortgage"
"2431" "indiv" "mortgage"
"2432" "indiv" "mortgage"
"2433" "joint" "mortgage"
"2434" "indiv" "rent"
"2435" "indiv" "mortgage"
"2436" "indiv" "own"
"2437" "indiv" "mortgage"
"2438" "joint" "mortgage"
"2439" "joint" "mortgage"
"2440" "joint" "mortgage"
"2441" "indiv" "mortgage"
"2442" "indiv" "rent"
"2443" "indiv" "rent"
"2444" "joint" "own"
"2445" "indiv" "mortgage"
"2446" "indiv" "rent"
"2447" "indiv" "rent"
"2448" "indiv" "rent"
"2449" "indiv" "rent"
"2450" "indiv" "rent"
"2451" "indiv" "rent"
"2452" "indiv" "rent"
"2453" "indiv" "own"
"2454" "indiv" "rent"
"2455" "indiv" "rent"
"2456" "indiv" "rent"
"2457" "indiv" "rent"
"2458" "indiv" "mortgage"
"2459" "indiv" "own"
"2460" "indiv" "rent"
"2461" "indiv" "mortgage"
"2462" "indiv" "mortgage"
"2463" "indiv" "rent"
"2464" "indiv" "mortgage"
"2465" "indiv" "rent"
"2466" "indiv" "mortgage"
"2467" "indiv" "mortgage"
"2468" "indiv" "mortgage"
"2469" "indiv" "rent"
"2470" "indiv" "rent"
"2471" "indiv" "rent"
"2472" "indiv" "mortgage"
"2473" "indiv" "own"
"2474" "indiv" "rent"
"2475" "indiv" "rent"
"2476" "indiv" "mortgage"
"2477" "indiv" "own"
"2478" "indiv" "own"
"2479" "joint" "mortgage"
"2480" "indiv" "mortgage"
"2481" "indiv" "own"
"2482" "indiv" "mortgage"
"2483" "indiv" "rent"
"2484" "joint" "mortgage"
"2485" "indiv" "own"
"2486" "indiv" "own"
"2487" "joint" "rent"
"2488" "indiv" "mortgage"
"2489" "indiv" "own"
"2490" "indiv" "rent"
"2491" "joint" "mortgage"
"2492" "indiv" "own"
"2493" "indiv" "mortgage"
"2494" "indiv" "mortgage"
"2495" "indiv" "mortgage"
"2496" "indiv" "rent"
"2497" "indiv" "rent"
"2498" "indiv" "mortgage"
"2499" "indiv" "rent"
"2500" "joint" "rent"
"2501" "indiv" "own"
"2502" "indiv" "mortgage"
"2503" "indiv" "rent"
"2504" "indiv" "mortgage"
"2505" "indiv" "mortgage"
"2506" "indiv" "mortgage"
"2507" "indiv" "rent"
"2508" "indiv" "mortgage"
"2509" "joint" "mortgage"
"2510" "indiv" "mortgage"
"2511" "joint" "rent"
"2512" "indiv" "rent"
"2513" "indiv" "mortgage"
"2514" "joint" "rent"
"2515" "indiv" "mortgage"
"2516" "indiv" "mortgage"
"2517" "joint" "rent"
"2518" "indiv" "rent"
"2519" "joint" "rent"
"2520" "indiv" "mortgage"
"2521" "indiv" "own"
"2522" "indiv" "mortgage"
"2523" "joint" "rent"
"2524" "indiv" "rent"
"2525" "joint" "rent"
"2526" "indiv" "own"
"2527" "indiv" "mortgage"
"2528" "indiv" "mortgage"
"2529" "indiv" "own"
"2530" "joint" "mortgage"
"2531" "indiv" "mortgage"
"2532" "indiv" "own"
"2533" "indiv" "rent"
"2534" "indiv" "rent"
"2535" "joint" "mortgage"
"2536" "indiv" "mortgage"
"2537" "indiv" "rent"
"2538" "indiv" "rent"
"2539" "indiv" "mortgage"
"2540" "indiv" "mortgage"
"2541" "indiv" "rent"
"2542" "indiv" "rent"
"2543" "indiv" "own"
"2544" "indiv" "mortgage"
"2545" "indiv" "rent"
"2546" "indiv" "mortgage"
"2547" "indiv" "mortgage"
"2548" "indiv" "mortgage"
"2549" "joint" "mortgage"
"2550" "joint" "rent"
"2551" "indiv" "rent"
"2552" "indiv" "own"
"2553" "indiv" "mortgage"
"2554" "joint" "mortgage"
"2555" "indiv" "mortgage"
"2556" "indiv" "mortgage"
"2557" "indiv" "rent"
"2558" "indiv" "mortgage"
"2559" "indiv" "mortgage"
"2560" "indiv" "mortgage"
"2561" "indiv" "mortgage"
"2562" "indiv" "mortgage"
"2563" "indiv" "mortgage"
"2564" "indiv" "own"
"2565" "indiv" "rent"
"2566" "indiv" "mortgage"
"2567" "indiv" "mortgage"
"2568" "indiv" "rent"
"2569" "indiv" "rent"
"2570" "joint" "rent"
"2571" "indiv" "rent"
"2572" "indiv" "mortgage"
"2573" "indiv" "mortgage"
"2574" "indiv" "own"
"2575" "indiv" "rent"
"2576" "joint" "mortgage"
"2577" "joint" "mortgage"
"2578" "indiv" "rent"
"2579" "indiv" "mortgage"
"2580" "indiv" "rent"
"2581" "indiv" "mortgage"
"2582" "joint" "mortgage"
"2583" "indiv" "rent"
"2584" "indiv" "rent"
"2585" "indiv" "own"
"2586" "indiv" "mortgage"
"2587" "indiv" "rent"
"2588" "indiv" "rent"
"2589" "indiv" "rent"
"2590" "indiv" "rent"
"2591" "indiv" "mortgage"
"2592" "indiv" "rent"
"2593" "indiv" "mortgage"
"2594" "indiv" "rent"
"2595" "indiv" "mortgage"
"2596" "indiv" "mortgage"
"2597" "indiv" "mortgage"
"2598" "indiv" "mortgage"
"2599" "joint" "mortgage"
"2600" "indiv" "mortgage"
"2601" "joint" "mortgage"
"2602" "indiv" "mortgage"
"2603" "indiv" "rent"
"2604" "indiv" "rent"
"2605" "indiv" "rent"
"2606" "indiv" "mortgage"
"2607" "joint" "own"
"2608" "joint" "rent"
"2609" "joint" "mortgage"
"2610" "indiv" "rent"
"2611" "indiv" "rent"
"2612" "indiv" "mortgage"
"2613" "indiv" "own"
"2614" "indiv" "rent"
"2615" "joint" "mortgage"
"2616" "joint" "mortgage"
"2617" "indiv" "own"
"2618" "joint" "mortgage"
"2619" "indiv" "mortgage"
"2620" "indiv" "mortgage"
"2621" "indiv" "mortgage"
"2622" "joint" "mortgage"
"2623" "indiv" "mortgage"
"2624" "joint" "rent"
"2625" "indiv" "rent"
"2626" "indiv" "rent"
"2627" "indiv" "mortgage"
"2628" "joint" "mortgage"
"2629" "indiv" "rent"
"2630" "indiv" "mortgage"
"2631" "indiv" "rent"
"2632" "indiv" "rent"
"2633" "indiv" "mortgage"
"2634" "indiv" "mortgage"
"2635" "joint" "rent"
"2636" "indiv" "rent"
"2637" "indiv" "mortgage"
"2638" "indiv" "rent"
"2639" "indiv" "rent"
"2640" "indiv" "rent"
"2641" "indiv" "mortgage"
"2642" "indiv" "rent"
"2643" "indiv" "mortgage"
"2644" "indiv" "rent"
"2645" "joint" "mortgage"
"2646" "indiv" "mortgage"
"2647" "joint" "own"
"2648" "indiv" "mortgage"
"2649" "indiv" "mortgage"
"2650" "indiv" "mortgage"
"2651" "joint" "mortgage"
"2652" "indiv" "mortgage"
"2653" "indiv" "rent"
"2654" "indiv" "mortgage"
"2655" "indiv" "rent"
"2656" "indiv" "mortgage"
"2657" "indiv" "rent"
"2658" "indiv" "mortgage"
"2659" "indiv" "rent"
"2660" "indiv" "rent"
"2661" "indiv" "rent"
"2662" "indiv" "rent"
"2663" "indiv" "mortgage"
"2664" "indiv" "mortgage"
"2665" "indiv" "rent"
"2666" "indiv" "mortgage"
"2667" "joint" "mortgage"
"2668" "indiv" "mortgage"
"2669" "indiv" "mortgage"
"2670" "indiv" "rent"
"2671" "indiv" "rent"
"2672" "indiv" "rent"
"2673" "indiv" "rent"
"2674" "indiv" "mortgage"
"2675" "indiv" "rent"
"2676" "joint" "rent"
"2677" "indiv" "mortgage"
"2678" "indiv" "rent"
"2679" "indiv" "rent"
"2680" "indiv" "own"
"2681" "indiv" "rent"
"2682" "indiv" "mortgage"
"2683" "joint" "own"
"2684" "indiv" "mortgage"
"2685" "indiv" "rent"
"2686" "indiv" "rent"
"2687" "indiv" "rent"
"2688" "indiv" "own"
"2689" "indiv" "own"
"2690" "indiv" "mortgage"
"2691" "joint" "mortgage"
"2692" "indiv" "mortgage"
"2693" "indiv" "mortgage"
"2694" "indiv" "rent"
"2695" "indiv" "rent"
"2696" "indiv" "rent"
"2697" "indiv" "mortgage"
"2698" "indiv" "own"
"2699" "indiv" "own"
"2700" "indiv" "own"
"2701" "indiv" "own"
"2702" "indiv" "own"
"2703" "indiv" "mortgage"
"2704" "joint" "mortgage"
"2705" "indiv" "mortgage"
"2706" "indiv" "mortgage"
"2707" "indiv" "mortgage"
"2708" "indiv" "mortgage"
"2709" "indiv" "rent"
"2710" "indiv" "mortgage"
"2711" "indiv" "mortgage"
"2712" "indiv" "rent"
"2713" "indiv" "mortgage"
"2714" "indiv" "mortgage"
"2715" "indiv" "mortgage"
"2716" "indiv" "rent"
"2717" "indiv" "mortgage"
"2718" "joint" "mortgage"
"2719" "indiv" "own"
"2720" "indiv" "rent"
"2721" "indiv" "rent"
"2722" "indiv" "mortgage"
"2723" "indiv" "rent"
"2724" "indiv" "mortgage"
"2725" "indiv" "rent"
"2726" "indiv" "rent"
"2727" "joint" "mortgage"
"2728" "indiv" "own"
"2729" "indiv" "rent"
"2730" "indiv" "mortgage"
"2731" "indiv" "rent"
"2732" "indiv" "rent"
"2733" "indiv" "mortgage"
"2734" "joint" "mortgage"
"2735" "indiv" "own"
"2736" "indiv" "mortgage"
"2737" "joint" "rent"
"2738" "indiv" "rent"
"2739" "indiv" "mortgage"
"2740" "joint" "mortgage"
"2741" "indiv" "rent"
"2742" "indiv" "rent"
"2743" "joint" "mortgage"
"2744" "indiv" "rent"
"2745" "indiv" "mortgage"
"2746" "indiv" "rent"
"2747" "indiv" "mortgage"
"2748" "indiv" "rent"
"2749" "indiv" "rent"
"2750" "indiv" "mortgage"
"2751" "indiv" "rent"
"2752" "indiv" "rent"
"2753" "indiv" "mortgage"
"2754" "indiv" "mortgage"
"2755" "indiv" "mortgage"
"2756" "indiv" "mortgage"
"2757" "indiv" "mortgage"
"2758" "indiv" "rent"
"2759" "indiv" "mortgage"
"2760" "indiv" "mortgage"
"2761" "indiv" "rent"
"2762" "indiv" "mortgage"
"2763" "indiv" "mortgage"
"2764" "joint" "mortgage"
"2765" "indiv" "mortgage"
"2766" "indiv" "rent"
"2767" "indiv" "mortgage"
"2768" "indiv" "rent"
"2769" "indiv" "own"
"2770" "joint" "mortgage"
"2771" "indiv" "mortgage"
"2772" "joint" "own"
"2773" "indiv" "mortgage"
"2774" "indiv" "mortgage"
"2775" "indiv" "rent"
"2776" "indiv" "rent"
"2777" "indiv" "rent"
"2778" "indiv" "mortgage"
"2779" "indiv" "mortgage"
"2780" "indiv" "mortgage"
"2781" "indiv" "mortgage"
"2782" "indiv" "mortgage"
"2783" "indiv" "rent"
"2784" "indiv" "mortgage"
"2785" "indiv" "mortgage"
"2786" "indiv" "mortgage"
"2787" "indiv" "mortgage"
"2788" "indiv" "own"
"2789" "indiv" "mortgage"
"2790" "indiv" "rent"
"2791" "indiv" "mortgage"
"2792" "indiv" "rent"
"2793" "indiv" "mortgage"
"2794" "indiv" "rent"
"2795" "indiv" "mortgage"
"2796" "indiv" "own"
"2797" "joint" "mortgage"
"2798" "indiv" "rent"
"2799" "indiv" "own"
"2800" "indiv" "rent"
"2801" "indiv" "rent"
"2802" "joint" "own"
"2803" "indiv" "rent"
"2804" "indiv" "mortgage"
"2805" "indiv" "mortgage"
"2806" "indiv" "mortgage"
"2807" "joint" "mortgage"
"2808" "indiv" "mortgage"
"2809" "joint" "rent"
"2810" "joint" "rent"
"2811" "joint" "mortgage"
"2812" "indiv" "rent"
"2813" "indiv" "mortgage"
"2814" "indiv" "mortgage"
"2815" "indiv" "mortgage"
"2816" "indiv" "mortgage"
"2817" "joint" "mortgage"
"2818" "indiv" "rent"
"2819" "indiv" "own"
"2820" "indiv" "own"
"2821" "indiv" "rent"
"2822" "indiv" "mortgage"
"2823" "indiv" "mortgage"
"2824" "indiv" "mortgage"
"2825" "indiv" "rent"
"2826" "joint" "mortgage"
"2827" "indiv" "rent"
"2828" "indiv" "mortgage"
"2829" "indiv" "own"
"2830" "indiv" "mortgage"
"2831" "indiv" "mortgage"
"2832" "joint" "mortgage"
"2833" "indiv" "rent"
"2834" "indiv" "mortgage"
"2835" "indiv" "own"
"2836" "indiv" "mortgage"
"2837" "indiv" "rent"
"2838" "indiv" "own"
"2839" "joint" "mortgage"
"2840" "indiv" "mortgage"
"2841" "joint" "mortgage"
"2842" "indiv" "rent"
"2843" "indiv" "own"
"2844" "indiv" "rent"
"2845" "indiv" "mortgage"
"2846" "indiv" "mortgage"
"2847" "indiv" "mortgage"
"2848" "indiv" "mortgage"
"2849" "joint" "mortgage"
"2850" "indiv" "mortgage"
"2851" "joint" "mortgage"
"2852" "indiv" "rent"
"2853" "indiv" "rent"
"2854" "indiv" "rent"
"2855" "indiv" "rent"
"2856" "indiv" "mortgage"
"2857" "indiv" "rent"
"2858" "indiv" "rent"
"2859" "indiv" "mortgage"
"2860" "indiv" "mortgage"
"2861" "indiv" "own"
"2862" "indiv" "mortgage"
"2863" "indiv" "mortgage"
"2864" "indiv" "rent"
"2865" "indiv" "mortgage"
"2866" "joint" "mortgage"
"2867" "joint" "rent"
"2868" "joint" "mortgage"
"2869" "indiv" "rent"
"2870" "indiv" "mortgage"
"2871" "indiv" "mortgage"
"2872" "indiv" "mortgage"
"2873" "indiv" "rent"
"2874" "indiv" "mortgage"
"2875" "indiv" "rent"
"2876" "indiv" "rent"
"2877" "indiv" "own"
"2878" "indiv" "rent"
"2879" "indiv" "mortgage"
"2880" "indiv" "mortgage"
"2881" "indiv" "mortgage"
"2882" "indiv" "mortgage"
"2883" "indiv" "mortgage"
"2884" "indiv" "own"
"2885" "indiv" "mortgage"
"2886" "indiv" "rent"
"2887" "indiv" "mortgage"
"2888" "joint" "rent"
"2889" "joint" "rent"
"2890" "indiv" "mortgage"
"2891" "indiv" "mortgage"
"2892" "indiv" "mortgage"
"2893" "indiv" "rent"
"2894" "joint" "mortgage"
"2895" "indiv" "rent"
"2896" "indiv" "rent"
"2897" "indiv" "mortgage"
"2898" "indiv" "rent"
"2899" "indiv" "own"
"2900" "indiv" "mortgage"
"2901" "indiv" "rent"
"2902" "joint" "mortgage"
"2903" "joint" "mortgage"
"2904" "indiv" "rent"
"2905" "indiv" "own"
"2906" "indiv" "own"
"2907" "indiv" "own"
"2908" "indiv" "rent"
"2909" "indiv" "mortgage"
"2910" "indiv" "mortgage"
"2911" "joint" "mortgage"
"2912" "indiv" "mortgage"
"2913" "joint" "mortgage"
"2914" "indiv" "mortgage"
"2915" "joint" "mortgage"
"2916" "indiv" "mortgage"
"2917" "indiv" "own"
"2918" "indiv" "rent"
"2919" "joint" "mortgage"
"2920" "indiv" "rent"
"2921" "joint" "own"
"2922" "indiv" "rent"
"2923" "indiv" "mortgage"
"2924" "indiv" "rent"
"2925" "indiv" "rent"
"2926" "indiv" "mortgage"
"2927" "indiv" "mortgage"
"2928" "indiv" "mortgage"
"2929" "indiv" "mortgage"
"2930" "indiv" "rent"
"2931" "indiv" "rent"
"2932" "indiv" "rent"
"2933" "joint" "own"
"2934" "indiv" "mortgage"
"2935" "indiv" "own"
"2936" "indiv" "mortgage"
"2937" "indiv" "rent"
"2938" "indiv" "mortgage"
"2939" "joint" "mortgage"
"2940" "indiv" "own"
"2941" "indiv" "own"
"2942" "indiv" "mortgage"
"2943" "indiv" "mortgage"
"2944" "joint" "rent"
"2945" "indiv" "rent"
"2946" "indiv" "mortgage"
"2947" "indiv" "rent"
"2948" "indiv" "mortgage"
"2949" "indiv" "rent"
"2950" "indiv" "mortgage"
"2951" "indiv" "mortgage"
"2952" "indiv" "rent"
"2953" "indiv" "rent"
"2954" "indiv" "own"
"2955" "indiv" "rent"
"2956" "joint" "mortgage"
"2957" "indiv" "rent"
"2958" "indiv" "mortgage"
"2959" "indiv" "mortgage"
"2960" "indiv" "mortgage"
"2961" "indiv" "rent"
"2962" "indiv" "mortgage"
"2963" "indiv" "mortgage"
"2964" "joint" "mortgage"
"2965" "indiv" "own"
"2966" "indiv" "mortgage"
"2967" "indiv" "rent"
"2968" "joint" "rent"
"2969" "indiv" "mortgage"
"2970" "indiv" "own"
"2971" "indiv" "mortgage"
"2972" "indiv" "rent"
"2973" "joint" "mortgage"
"2974" "indiv" "mortgage"
"2975" "indiv" "mortgage"
"2976" "indiv" "mortgage"
"2977" "indiv" "own"
"2978" "indiv" "rent"
"2979" "indiv" "rent"
"2980" "indiv" "own"
"2981" "indiv" "mortgage"
"2982" "indiv" "mortgage"
"2983" "indiv" "mortgage"
"2984" "indiv" "rent"
"2985" "indiv" "rent"
"2986" "indiv" "mortgage"
"2987" "joint" "rent"
"2988" "joint" "rent"
"2989" "indiv" "rent"
"2990" "indiv" "mortgage"
"2991" "joint" "mortgage"
"2992" "indiv" "mortgage"
"2993" "indiv" "rent"
"2994" "joint" "mortgage"
"2995" "indiv" "mortgage"
"2996" "indiv" "rent"
"2997" "indiv" "rent"
"2998" "indiv" "mortgage"
"2999" "indiv" "own"
"3000" "indiv" "rent"
"3001" "indiv" "mortgage"
"3002" "indiv" "mortgage"
"3003" "indiv" "rent"
"3004" "indiv" "rent"
"3005" "indiv" "own"
"3006" "joint" "mortgage"
"3007" "joint" "rent"
"3008" "indiv" "rent"
"3009" "indiv" "rent"
"3010" "indiv" "rent"
"3011" "joint" "rent"
"3012" "joint" "mortgage"
"3013" "indiv" "mortgage"
"3014" "joint" "rent"
"3015" "indiv" "rent"
"3016" "indiv" "own"
"3017" "joint" "mortgage"
"3018" "indiv" "mortgage"
"3019" "joint" "mortgage"
"3020" "indiv" "own"
"3021" "indiv" "mortgage"
"3022" "indiv" "mortgage"
"3023" "indiv" "rent"
"3024" "indiv" "rent"
"3025" "indiv" "mortgage"
"3026" "joint" "rent"
"3027" "indiv" "rent"
"3028" "indiv" "own"
"3029" "indiv" "rent"
"3030" "indiv" "rent"
"3031" "indiv" "rent"
"3032" "indiv" "rent"
"3033" "joint" "mortgage"
"3034" "indiv" "mortgage"
"3035" "indiv" "rent"
"3036" "indiv" "rent"
"3037" "indiv" "rent"
"3038" "indiv" "mortgage"
"3039" "joint" "own"
"3040" "indiv" "rent"
"3041" "indiv" "rent"
"3042" "indiv" "rent"
"3043" "indiv" "own"
"3044" "indiv" "rent"
"3045" "indiv" "own"
"3046" "indiv" "rent"
"3047" "indiv" "rent"
"3048" "joint" "mortgage"
"3049" "indiv" "mortgage"
"3050" "joint" "mortgage"
"3051" "indiv" "mortgage"
"3052" "indiv" "rent"
"3053" "joint" "mortgage"
"3054" "indiv" "mortgage"
"3055" "indiv" "rent"
"3056" "joint" "rent"
"3057" "indiv" "own"
"3058" "indiv" "mortgage"
"3059" "indiv" "rent"
"3060" "indiv" "mortgage"
"3061" "indiv" "own"
"3062" "joint" "mortgage"
"3063" "indiv" "rent"
"3064" "indiv" "rent"
"3065" "indiv" "rent"
"3066" "indiv" "rent"
"3067" "indiv" "rent"
"3068" "indiv" "mortgage"
"3069" "joint" "mortgage"
"3070" "indiv" "mortgage"
"3071" "indiv" "rent"
"3072" "indiv" "rent"
"3073" "indiv" "mortgage"
"3074" "indiv" "rent"
"3075" "indiv" "mortgage"
"3076" "indiv" "rent"
"3077" "indiv" "mortgage"
"3078" "indiv" "rent"
"3079" "indiv" "mortgage"
"3080" "joint" "mortgage"
"3081" "indiv" "rent"
"3082" "joint" "mortgage"
"3083" "indiv" "rent"
"3084" "indiv" "mortgage"
"3085" "indiv" "rent"
"3086" "joint" "rent"
"3087" "indiv" "rent"
"3088" "indiv" "rent"
"3089" "indiv" "mortgage"
"3090" "indiv" "rent"
"3091" "indiv" "mortgage"
"3092" "indiv" "rent"
"3093" "indiv" "rent"
"3094" "indiv" "mortgage"
"3095" "indiv" "rent"
"3096" "indiv" "own"
"3097" "indiv" "rent"
"3098" "joint" "mortgage"
"3099" "indiv" "rent"
"3100" "indiv" "mortgage"
"3101" "joint" "mortgage"
"3102" "indiv" "mortgage"
"3103" "indiv" "mortgage"
"3104" "indiv" "mortgage"
"3105" "indiv" "mortgage"
"3106" "indiv" "mortgage"
"3107" "joint" "mortgage"
"3108" "indiv" "own"
"3109" "indiv" "rent"
"3110" "indiv" "mortgage"
"3111" "indiv" "own"
"3112" "indiv" "mortgage"
"3113" "indiv" "mortgage"
"3114" "indiv" "mortgage"
"3115" "indiv" "mortgage"
"3116" "indiv" "mortgage"
"3117" "indiv" "mortgage"
"3118" "indiv" "mortgage"
"3119" "indiv" "rent"
"3120" "indiv" "rent"
"3121" "indiv" "rent"
"3122" "indiv" "rent"
"3123" "indiv" "own"
"3124" "indiv" "mortgage"
"3125" "indiv" "mortgage"
"3126" "indiv" "rent"
"3127" "indiv" "own"
"3128" "indiv" "mortgage"
"3129" "indiv" "mortgage"
"3130" "indiv" "own"
"3131" "indiv" "mortgage"
"3132" "indiv" "rent"
"3133" "indiv" "rent"
"3134" "joint" "mortgage"
